Date,Open,High,Low,Close,Adj Close,Volume
2024-09-12,154.81,155.61,153.50,155.54,155.19,21024100
2024-09-11,151.09,152.48,148.70,152.15,151.80,18991500
2024-09-10,151.45,152.30,149.54,150.01,149.67,20401800
2024-09-09,153.63,154.64,148.20,149.54,149.20,28057700
2024-09-06,158.69,159.22,151.93,152.13,151.59,24999100
2024-09-05,157.78,161.01,157.52,158.60,158.03,14139500
2024-09-04,158.07,160.40,157.44,157.81,157.24,17410700
2024-09-03,163.32,163.38,157.85,158.61,158.04,26533100
2024-08-30,164.22,165.28,163.41,165.11,164.52,18498800
2024-08-29,166.06,167.63,161.98,163.40,162.81,17133800
2024-08-28,166.78,167.39,163.28,164.50,163.91,15208700
2024-08-27,167.61,168.24,166.16,166.38,165.78,13718200
2024-08-26,168.15,169.38,166.32,167.93,167.33,11990300
2024-08-23,166.55,167.95,165.66,167.43,166.83,14281600
2024-08-22,169.04,169.42,165.03,165.49,164.90,19123800
2024-08-21,166.99,168.64,166.57,167.63,167.03,15269600
2024-08-20,168.74,170.41,168.66,168.96,168.35,12622500
2024-08-19,167.00,168.47,166.09,168.40,167.80,13100800
2024-08-16,163.41,166.95,163.08,164.74,164.15,16853100
2024-08-15,162.21,163.52,161.49,163.17,162.59,18392500
2024-08-14,164.21,164.96,159.53,162.03,161.45,22515900
2024-08-13,165.18,166.54,164.77,165.93,165.34,12717600
2024-08-12,165.99,166.70,163.55,163.95,163.36,12435000
2024-08-09,161.65,165.52,160.93,165.39,164.80,13549200
2024-08-08,162.34,165.50,162.03,163.84,163.25,15733600
2024-08-07,163.24,164.79,160.24,160.75,160.17,19334200
2024-08-06,160.95,162.35,158.13,160.54,159.97,36146500
2024-08-05,157.37,165.94,156.60,160.64,160.06,34907800
2024-08-02,168.19,170.21,166.39,168.40,167.80,18907800
2024-08-01,171.98,175.68,170.51,172.45,171.83,17177800
2024-07-31,174.92,175.91,171.72,173.15,172.53,15650200
2024-07-30,171.83,172.95,170.12,171.86,171.24,13681400
2024-07-29,170.50,172.16,169.72,171.13,170.52,13768900
2024-07-26,168.77,169.84,165.87,168.68,168.08,25150100
2024-07-25,174.25,175.20,169.05,169.16,168.55,28967900
2024-07-24,175.39,177.95,173.57,174.37,173.75,31250700
2024-07-23,183.84,185.22,183.33,183.60,182.94,23772600
2024-07-22,182.35,184.30,181.90,183.35,182.69,16303900
2024-07-19,180.37,181.97,178.86,179.39,178.75,14485900
2024-07-18,183.54,184.05,178.21,179.22,178.58,17877200
2024-07-17,184.68,185.23,181.62,182.62,181.97,17376600
2024-07-16,188.96,190.34,185.12,185.50,184.84,12760100
2024-07-15,186.49,189.90,186.49,188.19,187.52,12186000
2024-07-12,186.92,188.69,186.14,186.78,186.11,14449100
2024-07-11,191.34,192.41,186.82,187.30,186.63,16452000
2024-07-10,190.75,193.31,190.62,192.66,191.97,12052900
2024-07-09,191.75,192.86,190.23,190.44,189.76,10198500
2024-07-08,191.37,191.68,189.32,190.48,189.80,12097600
2024-07-05,187.32,192.26,187.32,191.96,191.27,14303400
2024-07-03,186.30,187.62,185.38,187.39,186.72,7409100
2024-07-02,183.47,186.95,183.06,186.61,185.94,12555500
2024-07-01,184.48,185.34,182.73,184.49,183.83,11815900
2024-06-28,185.72,186.58,183.32,183.42,182.76,23032400
2024-06-27,185.65,187.50,185.45,186.86,186.19,13025700
2024-06-26,184.20,185.93,183.99,185.37,184.71,13375700
2024-06-25,181.15,185.75,181.10,185.58,184.92,18917700
2024-06-24,181.28,182.08,180.23,180.79,180.14,18198300
2024-06-21,178.49,182.51,178.06,180.26,179.61,59728000
2024-06-20,176.71,178.74,176.46,177.71,177.07,16753200
2024-06-18,178.79,178.91,175.62,176.45,175.82,15640300
2024-06-17,176.98,179.92,176.49,178.78,178.14,15272900
2024-06-14,175.85,178.73,175.85,178.37,177.73,12361600
2024-06-13,177.84,178.51,176.66,176.74,176.11,15956900
2024-06-12,179.75,182.08,177.78,179.56,178.92,18600400
2024-06-11,177.72,178.39,175.44,178.19,177.55,14402400
2024-06-10,176.45,178.47,174.38,176.63,176.00,17122200
2024-06-07,178.46,179.42,175.79,175.95,175.12,14716300
2024-06-06,177.43,178.71,177.21,178.35,177.51,14255800
2024-06-05,176.54,177.97,175.29,177.07,176.24,15233900
2024-06-04,174.45,175.19,173.22,175.13,174.30,14066600
2024-06-03,173.88,175.86,172.45,174.42,173.60,20742800
2024-05-31,173.40,174.42,170.97,173.96,173.14,28085200
2024-05-30,176.69,176.69,173.23,173.56,172.74,18844000
2024-05-29,176.81,178.23,176.26,177.40,176.56,15023800
2024-05-28,175.74,178.51,175.68,178.02,177.18,15655300
2024-05-24,176.52,177.30,175.20,176.33,175.50,11400600
2024-05-23,178.78,179.91,174.54,175.06,174.23,14928400
2024-05-22,178.40,178.85,176.78,178.00,177.16,16189400
2024-05-21,178.40,179.82,177.31,179.54,178.69,14706000
2024-05-20,177.31,179.95,177.23,178.46,177.62,17495100
2024-05-17,175.55,177.49,174.98,177.29,176.45,16546400
2024-05-16,174.60,176.34,174.05,175.43,174.60,17247300
2024-05-15,172.30,174.05,172.03,173.88,173.06,20958200
2024-05-14,171.59,172.78,170.42,171.93,171.12,18729500
2024-05-13,165.85,170.95,165.76,170.90,170.09,19648600
2024-05-10,169.69,171.34,167.91,170.29,169.49,18740500
2024-05-09,171.15,172.44,169.93,171.58,170.77,11937700
2024-05-08,170.75,171.91,170.52,171.16,170.35,14569900
2024-05-07,170.12,173.47,170.00,172.98,172.16,21102400
2024-05-06,169.22,169.90,167.89,169.83,169.03,15147900
2024-05-03,169.54,169.85,164.98,168.99,168.19,22767100
2024-05-02,166.67,168.53,165.69,168.46,167.67,17041100
2024-05-01,166.18,168.81,164.90,165.57,164.79,25223200
2024-04-30,167.38,169.87,164.50,164.64,163.86,29420800
2024-04-29,170.77,171.38,167.06,167.90,167.11,35914600
2024-04-26,175.99,176.42,171.40,173.69,172.87,56500800
2024-04-25,153.36,158.28,152.77,157.95,157.21,36197800
2024-04-24,159.09,161.39,158.82,161.10,160.34,19485700
2024-04-23,158.59,160.48,157.96,159.92,159.17,16115400
2024-04-22,156.01,159.18,155.66,157.95,157.21,17243900
2024-04-19,157.75,157.99,153.91,155.72,154.99,20063900
2024-04-18,156.93,158.49,156.21,157.46,156.72,14016100
2024-04-17,157.19,158.68,156.13,156.88,156.14,16237800
2024-04-16,155.64,157.23,155.05,156.00,155.26,15413200
2024-04-15,160.28,160.83,156.15,156.33,155.59,21140900
2024-04-12,159.40,161.70,158.60,159.19,158.44,16968200
2024-04-11,158.34,161.12,157.93,160.79,160.03,17841700
2024-04-10,157.88,158.16,156.20,157.66,156.92,16339200
2024-04-09,157.35,159.89,156.64,158.14,157.39,21538100
2024-04-08,154.01,156.65,153.99,156.14,155.40,16641500
2024-04-05,151.68,154.84,151.08,153.94,153.21,16289800
2024-04-04,155.08,156.18,151.88,151.94,151.22,24184800
2024-04-03,154.92,156.55,154.13,156.37,155.63,17266200
2024-04-02,154.75,155.99,153.46,155.87,155.14,17598100
2024-04-01,151.83,157.00,151.65,156.50,155.76,24469800
2024-03-28,152.00,152.67,151.33,152.26,151.54,21105600
2024-03-27,152.15,152.69,150.13,151.94,151.22,16622000
2024-03-26,151.24,153.20,151.03,151.70,150.98,19312700
2024-03-25,150.95,151.46,148.80,151.15,150.44,15114700
2024-03-22,150.24,152.56,150.09,151.77,151.05,19226300
2024-03-21,150.32,151.30,148.01,148.74,148.04,19843900
2024-03-20,148.79,149.76,147.66,149.68,148.97,17730000
2024-03-19,148.98,149.62,147.01,147.92,147.22,17748400
2024-03-18,149.37,152.93,148.14,148.48,147.78,47676700
2024-03-15,143.41,144.34,141.13,142.17,141.50,41025900
2024-03-14,142.30,144.73,141.49,144.34,143.66,36117900
2024-03-13,140.06,142.19,140.01,140.77,140.11,19637000
